"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene-LOC119866292|LOC119866292",146.564804397254,6.06313968892734,0.736636405331372,8.23084447774458,1.85898195391356e-16,4.17341448653595e-12
"gene-LOC119870553|LOC119870553",219.88090872781,6.36044174334978,0.85172851671734,7.46768673175774,8.16168612898469e-14,9.16149267978532e-10
"gene-TMEFF1|TMEFF1",4.49322954062331,20.9310831602154,2.9503148857533,7.09452515095558,1.29796369763243e-12,9.71309500394933e-09
"gene-LOC119870551|LOC119870551",364.706178135067,4.90986955119732,0.741521275417874,6.62134683651583,3.55940707450745e-11,1.99771722056731e-07
"gene-RN7SL1|RN7SL1",619002.686338874,5.77004413734146,0.882119158774603,6.54111644662261,6.10612623914408e-11,2.74165068137569e-07
"gene-LOC119876683|LOC119876683",402.003270634492,3.88785540864372,0.60392609985097,6.43763435559934,1.21349894583125e-10,4.54050855565194e-07
"gene-LOC119875699|LOC119875699",405.183715074947,3.78449721751925,0.602589444281196,6.28039082568666,3.37722967390348e-10,1.08312580255904e-06
"gene-LOC119873495|LOC119873495",147.774487877108,4.01157793059158,0.644275603472929,6.22649361386246,4.76989656906939e-10,1.3385522246951e-06
"gene-LOC119875698|LOC119875698",399.670080844713,3.68918704063261,0.595739010946975,6.19262289835334,5.91711793495278e-10,1.47599219599656e-06
"gene-LOC119873071|LOC119873071",1020.73665551488,4.03410903203695,0.668715318144053,6.03262542756337,1.61317043430064e-09,3.62156762500494e-06
"gene-LOC119873082|LOC119873082",1027.754953395,4.07755470150152,0.681072519248294,5.98696113301115,2.13797846211599e-09,4.36341967950036e-06
"gene-LOC119865042|LOC119865042",114.233868442598,4.68354275860536,0.809002233180875,5.78928285548777,7.06875742903289e-09,1.32244670234824e-05
"gene-LOC119870567|LOC119870567",40.3594178404955,3.51700486690289,0.623601737132131,5.63982532036739,1.70222759783462e-08,2.72964354081338e-05
"gene-LOC119869669|LOC119869669",37.7894113910608,3.33469797417521,0.591101836495934,5.64149486312439,1.68580070784126e-08,2.72964354081338e-05
"gene-LOC119877738|LOC119877738",4886.56654914838,3.38825460396777,0.617847808945949,5.48396312960654,4.15901489494631e-08,5.83561777447155e-05
"gene-LOC111090235|LOC111090235",96.1093965067167,3.58031944651678,0.652276410422532,5.48896049176072,4.04306034808257e-08,5.83561777447155e-05
"gene-LOC119864306|LOC119864306",341.819643382034,5.34815153553499,0.982498589268068,5.44341904808148,5.22674923872665e-08,6.9023835534949e-05
"gene-LOC119865807|LOC119865807",3278.59951283296,4.4134722072895,0.812552809015993,5.43161276204834,5.58470084183245e-08,6.96536299439658e-05
"gene-LOC119870175|LOC119870175",17313.8308726643,3.61344947045861,0.674587015426016,5.35653575866212,8.48327171665598e-08,0.000100236552652067
"gene-LOC100682752|LOC100682752",279.29816172927,-2.86052123314056,0.550963782137438,-5.19184985634319,2.08214887095941e-07,0.000233721210765194
"gene-RHBDF1|RHBDF1",3528.69905158878,-4.28435740907179,0.826761609325061,-5.18209525061207,2.19407111945844e-07,0.000234556650627819
"gene-NPRL3|NPRL3",1591.36545436437,-4.57089274390544,0.912107497715508,-5.01135310843715,5.40486326868505e-07,0.000551541729008997
"gene-LOC111091147|LOC111091147",51.5596043259618,2.30456792094889,0.463941682532601,4.9673655282891,6.78685887513725e-07,0.000662456442377527
"gene-HBQ1|HBQ1",3278.63389964266,-4.28072536210317,0.865820841743564,-4.94412372134953,7.6487119241543e-07,0.000686854330789056
"gene-LOC119866294|LOC119866294",84.2147661629491,7.00154121510842,1.41497474114383,4.94817399316158,7.49129307677659e-07,0.000686854330789056
"gene-LOC111097970|LOC111097970",405.558898760153,1.64372497166849,0.333315780768712,4.93143459297857,8.16279004928581e-07,0.000704825525409487
"gene-LOC100683417|LOC100683417",166.820385737309,-3.32592214808707,0.680285546998068,-4.88900897977848,1.01344873283331e-06,0.000842663853781769
"gene-HYDIN|HYDIN",114.76635929376,2.21429133428189,0.45543412940026,4.86193543992363,1.16243538637308e-06,0.00093202408657413
"gene-LOC102154317|LOC102154317",719.678167058289,-3.44044480592057,0.724244131953358,-4.75039376106694,2.03020933873527e-06,0.00157166205705541
"gene-LOC119872078|LOC119872078",57.0034388418423,2.77802662796732,0.592505335673877,4.68861031404514,2.75066622543151e-06,0.00181624872826286
"gene-LTB4R2|LTB4R2",89.885288652402,1.45423101297392,0.309404693119235,4.70009358395059,2.6004229431855e-06,0.00181624872826286
"gene-LOC119873477|LOC119873477",14.4938624333495,2.98319898516062,0.635643961952192,4.69319172953143,2.68975183850643e-06,0.00181624872826286
"gene-TDRKH|TDRKH",223.384013030655,1.00803395824341,0.214218074899045,4.70564381048831,2.53066034227857e-06,0.00181624872826286
"gene-LOC119867565|LOC119867565",202.109790224239,1.71436860283135,0.365120886609042,4.69534520129229,2.66156862965871e-06,0.00181624872826286
"gene-LOC111093268|LOC111093268",995.917387004468,2.09190991725676,0.450469408011314,4.64384457646504,3.41984869903173e-06,0.00219358866552178
"gene-LOC476346|LOC476346",216.738775120584,-3.21888556345423,0.704166285762213,-4.57120090600475,4.84937070986337e-06,0.00286797782667648
"gene-LOC100855634|LOC100855634",456.528510281255,-4.64407885164602,1.01490846473309,-4.57585980708846,4.74268077119062e-06,0.00286797782667648
"gene-LOC106558133|LOC106558133",31.1265922457967,2.1317085960621,0.466357005471237,4.57098010977253,4.85448362644571e-06,0.00286797782667648
"gene-LOC111095428|LOC111095428",556.945213977153,1.78532453635234,0.392125385101268,4.55294302329157,5.29006040297402e-06,0.0030071206894275
"gene-LOC478756|LOC478756",9.78601867266947,-4.36135347459513,0.958483891420564,-4.55026267382667,5.35789877848998e-06,0.0030071206894275
"gene-LOC100685503|LOC100685503",89.1972980248261,-2.10540239782358,0.466392713906779,-4.51422660570208,6.35482408200644e-06,0.00343075896240754
"gene-LOC100687828|LOC100687828",18.8247059222279,-3.92172532368312,0.869153982700813,-4.51211799259866,6.41834638846844e-06,0.00343075896240754
"gene-LOC119870113|LOC119870113",69.0563995849758,-1.09773781761798,0.244233413868869,-4.49462585904548,6.96923735745118e-06,0.00350884345250355
"gene-LOC119866288|LOC119866288",20.4726302075493,3.43513099581267,0.764606582802351,4.49267776798705,7.03331649722315e-06,0.00350884345250355
"gene-LOC492081|LOC492081",13.0063262080401,-3.49644825384806,0.776744658124103,-4.50141268083163,6.75032965338522e-06,0.00350884345250355
